"question_id","question","gold_source_filename","gold_pages_prim_ref","gold_pages_alt_ref","gold_source_match_found","gold_source_cited_pages","page_hit","model_answer","manual_error_type"
"festy_beg_001","Что такое ароматерапия?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","16","7","True","104","False","Ароматерапия — это метод лечения, использующий растительные ароматические вещества для улучшения здоровья и состояния организма. Этот подход позволяет проводить лечение дома без необходимости находиться в стационаре, что особенно полезно для пациентов, предпочитающих не отрываться от привычной социальной среды. Ароматерапия действует постепенно и может быть эффективна при упорстве больного. [1]",""
"festy_beg_002","Чем эфирные масла отличаются от растительных масел?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","30,31","10","False","","False","Эфирные масла и растительные масла имеют различные свойства. [1] Эфирные масла получают из различных частей растений путем экстракции и содержат концентрированные ароматические вещества, в то время как растительные масла представляют собой физический отжим или выжимание жировых компонентов растений. Эфирные масла могут быть применены для внутреннего приема или ингаляций, в отличие от большинства растительных масел, которые обычно используются для наружного применения или кулинарных целей. [2]",""
"festy_beg_003","Зачем растениям нужны эфирные масла?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","15","10,11","False","","False","В источниках нет ответа.",""
"festy_mid_001","Что такое бородавки?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","201","","False","","False","Бородавки — это доброкачественные новообразования кожи, обычно имеющие вид узелка или сосочка. [1] Они могут появляться на разных частях тела, включая пальцы рук и ног, кисти рук, лице и волосистую часть головы. [2] Бородавки часто вызываются различными вирусами папиллом человека и передаются контактным путем. [1]",""
"festy_mid_002","В какую область лица наносят эфирное масло мяты перечной при головной боли или мигрени?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","249","","False","","False","Эфирное масло мяты перечной при головных болях или мигрени обычно наносят на запястья. [1]",""
"festy_mid_003","Какова наиболее частая причина ячменя на веке?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","520","","False","","False","В источниках нет ответа.",""
"festy_end_001","Какое эфирное масло является лучшим способом избавления от тошноты при беременности?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","477","","False","","False","В источниках нет прямого утверждения о том, что одно конкретное эфирное масло является лучшим для избавления от тошноты при беременности. Однако эвкалипт лучистый и эвкалипт лимонный часто используются в ароматерапии и имеют противовоспалительные свойства, что может помочь с облегчением тошноты. [1] Тем не менее, беременным рекомендуется избегать использования эвкалипта лучистого в течение первых трех месяцев беременности. [2]",""
"festy_end_002","Могут ли комары и другие кровососущие насекомые быть переносчиками заболеваний?","Даниэль Фести. Энциклопедия ароматерапии для здоровья всей семьи, 2017.pdf","410","490","False","","False","В источниках нет ответа.",""
"festy_end_003","Какой pH смеси для лечения черных угрей указан в книге Фести?","","","","False","","False","В источниках нет ответа.",""
"hill_beg_001","Что такое эфирное масло с точки зрения современной науки?","Дэвид К. Хилл. doTERRA. Руководство по химии эфирных масел.pdf","11","10,15","False","","False","Эфирные масла в современной науке рассматривают как концентрированные растворы активных веществ, получаемые из растений методами экстракции. Они проникают в организм через различные пути (кожу, дыхательные пути) и могут использоваться для лечения различных заболеваний. [1] Эфирные масла также используются для создания комфортной атмосферы и профилактики инфекций. [2]",""
